Start (of zoals de Russen zeggen 'начало'): 2013-11-20 21:29:17.597102
Loaded 161 entries
End: 2013-11-20 21:29:26.056390
Run: 0:00:08.459288
         6306369 function calls (6305292 primitive calls) in 8.500 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      128    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/sre_parse.py:140(append)
      138    0.000    0.000    0.000    0.000 {method 'write' of '_io.BufferedWriter' objects}
      147    0.000    0.000    0.000    0.000 {method 'group' of '_sre.SRE_Match' objects}
      698    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/collections/__init__.py:463(__missing__)
       14    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/sre_parse.py:180(__init__)
        7    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/nodes.py:549(as_const)
       14    0.000    0.000    0.000    0.000 /usr/lib/python3.3/urllib/parse.py:708(quote_from_bytes)
        3    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/compiler.py:1491(visit_Getitem)
       10    0.000    0.000    0.000    0.000 {built-in method stat}
       16    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/re.py:230(escape)
       20    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/sre_compile.py:358(_simple)
        1    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/src/gen.py:167(<listcomp>)
        2    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/sre_parse.py:754(parse_template)
      117    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/sre_parse.py:128(__len__)
      129    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x8f8540}
        1    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/environment.py:44(get_spontaneous_environment)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:415(cache_from_source)
       11    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/_weakrefset.py:58(__iter__)
       83    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/sre_parse.py:92(__init__)
       94    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/environment.py:392(getattr)
      161    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
        5    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/parser.py:851(flush_data)
       34    0.000    0.000    0.000    0.000 /home/bram/program/hoehetis.nl/virtualenv/lib/python3.3/site-packages/jinja2/compiler.py:512(newline)
